,TRBJ2-7*01,TRBJ2-1*01,TRBJ1-1*01,TRBJ2-5*01,TRBJ1-6*01,TRBJ2-3*01,TRBJ2-2P*01,TRBJ1-3*01,TRBJ2-6*01,TRBJ1-2*01,TRBJ1-4*01,TRBJ1-5*01,TRBJ2-4*01,TRBJ2-2*01
0,0.18519863461398794,0.054688067397777616,0.20945602440264363,0.025855181930423413,0.05926356307647614,0.03747548841600697,0.0,0.04800639116856707,0.022223836153678553,0.16355581378458856,0.058973055414336555,0.0971021860701576,0.003703972692279759,0.03449778487907618
1,0.22779380800124777,0.07385167277548156,0.16431412306012633,0.02012009670123996,0.06371363955392653,0.027060750214458393,0.0,0.052873742493956176,0.022771582313031273,0.15573578725727208,0.06004835061997972,0.10067846837713483,0.004211183030492085,0.02682679560165328
2,0.15336869427829816,0.10179437986683218,0.13993905879697552,0.06980024827897528,0.05321069856675319,0.08622051687168492,0.0,0.037806116691118385,0.020370161381333934,0.13536846857013882,0.048075837941541584,0.08661550615054735,0.011680397246360457,0.055749915359440246
3,0.18502764780944278,0.1659719268396427,0.1295618885580604,0.05172267120374309,0.05053168864313058,0.06712037430880477,0.0,0.03700552956188856,0.020161633347511698,0.09842620161633348,0.04704381114419396,0.07613781369629945,0.00918757975329647,0.062101233517652066
4,0.16006884681583478,0.08433734939759036,0.1566265060240964,0.0387263339070568,0.07142857142857142,0.05249569707401033,0.0,0.04475043029259897,0.012908777969018933,0.17555938037865748,0.06368330464716007,0.09896729776247848,0.0034423407917383822,0.03700516351118761
5,0.2879397637284175,0.09639101648708295,0.1395560171361807,0.023172789822147214,0.048487602232896276,0.034272361417629495,0.0,0.04167207581461768,0.03206542905361547,0.10443982863819291,0.05432948201999221,0.09996105413475269,0.0031156692197844994,0.03459691029469038
6,0.23256325632563257,0.07532086541987532,0.14822148881554822,0.028896222955628895,0.05786578657865787,0.03601026769343601,0.0,0.04583791712504584,0.025302530253025302,0.14528786211954528,0.058012467913458016,0.10898423175650898,0.0054272093876054275,0.03226989365603227
7,0.20608883019392507,0.14422742753875026,0.12497393480225204,0.0576909710155001,0.038576492666991036,0.07611037742406339,0.0,0.03294640995343018,0.02453603948008619,0.10148050323208452,0.04594425523041635,0.07652742058803086,0.012094251755056648,0.05880308611941336
8,0.24034281455719786,0.08185318593963482,0.1522792199726742,0.027822630729101974,0.06558191529002608,0.041982362439448515,0.0,0.044218109551608493,0.02434480188796423,0.11439572723885232,0.06272512731337722,0.10520432244441684,0.003850453359831077,0.03539932927586635
9,0.19581263307310148,0.13385379701916253,0.15762952448545067,0.05124201561391058,0.037970191625266145,0.06650106458481192,0.0,0.040951029098651524,0.02114975159687722,0.11653655074520937,0.03981547196593328,0.0773598296664301,0.009368346344925478,0.051809794180269694
10,0.3041551909950904,0.07963118189438391,0.1630942402107532,0.012333852233265477,0.049574901209435994,0.021913543288228955,0.0,0.04310860974733565,0.024428212190156867,0.13315770566399235,0.05173033169680278,0.09316249550951981,0.002993653454676087,0.02071608190635852
11,0.22634654872847892,0.09761491075659454,0.22460906649818355,0.011688516821987047,0.07676512399305008,0.01595324593271205,0.0,0.03696098562628337,0.006002211341020376,0.12193966198072974,0.06491865424103617,0.0914547464855473,0.00157952930026852,0.024166798294108355
12,0.22304081366540618,0.07015256226365889,0.19735297952796974,0.011409571000130394,0.05620028686921372,0.019363671925935584,0.0,0.049419741817707655,0.020080844960229497,0.17101316990481158,0.0569826574520798,0.09890468118398749,0.0014995436171599949,0.02457947581170948
13,0.29478438725072437,0.0998806885972388,0.1484574740071587,0.021561274927560933,0.039628430202829384,0.03306630305096302,0.0,0.04806545082665758,0.020282938469405147,0.12408385887165502,0.04363388443838418,0.0896539969319925,0.003323674791205045,0.033577637634225325
14,0.22957547774785173,0.07259202257278441,0.18661023470565602,0.011414646658971399,0.04924971142747211,0.02244452994741567,0.0,0.04578684109272797,0.02821598050532256,0.177375913813005,0.05540592535590612,0.09144542772861357,0.003206361421059382,0.026676927023214055
15,0.0679533976698835,0.15700785039251963,0.13670683534176709,0.09220461023051152,0.043002150107505376,0.10995549777488875,0.0,0.03810190509525476,0.0184009200460023,0.11725586279313965,0.04875243762188109,0.08180409020451022,0.014350717535876793,0.0745037251862593
16,0.0584385226741468,0.16541997818295154,0.11196820944366527,0.10799438990182328,0.049555867227676485,0.12147420913199314,0.0,0.034517687392862706,0.01955742558828113,0.09131993143213339,0.05119214586255259,0.08461898083216457,0.021037868162692847,0.08290478416705625
17,0.10796879353580384,0.131884461781369,0.12840159747376242,0.09960991919754807,0.03608247422680412,0.12412928392309835,0.0,0.036407541562180734,0.019318287359524473,0.12050710504318751,0.040819169685149065,0.06770688213987183,0.01676418686727965,0.07040029720442091
18,0.10261178943963775,0.11377051831487021,0.1216139726692003,0.0967089835853481,0.051831487021913154,0.11344707689819682,0.0,0.03929813212581871,0.021266273146276382,0.12444408506509258,0.04908223498018921,0.08522681329344223,0.01673809331284871,0.06396054014716585
19,0.12377129750982963,0.14384010484927917,0.1188564875491481,0.09624836173001311,0.047182175622542594,0.10861730013106159,0.0,0.03612385321100917,0.019003931847968544,0.10788007863695936,0.037762123197903015,0.07257536041939712,0.013024246395806028,0.07511467889908256
20,0.19374432730573204,0.17286881239963695,0.07938281086364589,0.1056342944913775,0.02904419465195839,0.10891572994484396,0.0,0.0210849682329121,0.032185994554213504,0.06674579347901975,0.035257976680862946,0.05752984709907143,0.022132234866997138,0.07547301542972841
21,0.09369768321002322,0.1650915375060755,0.10719879030080466,0.1085489010098828,0.037425068855646164,0.12264405681265864,0.0,0.03175460387751795,0.01879354107036777,0.10471458659610088,0.04385159583085813,0.0697737214451585,0.018091483501647136,0.07841442998325862
22,0.0772341285887586,0.16061463809138699,0.12697128993125759,0.08928427011726647,0.05162420811430112,0.11346542660735948,0.0,0.03563822617603451,0.019733117670845127,0.11273756570966438,0.04634047715325516,0.07871680819517456,0.016174686615446826,0.07146515702924923
23,0.08903595551613563,0.16190216278911101,0.10322712697004845,0.1090946305519547,0.044074503650133046,0.1310636555911851,0.0,0.03308999113051784,0.01917172681994951,0.10199904482499829,0.04332400900593573,0.0659070751176912,0.0201951286074913,0.0779149894248482
24,0.061044924697344335,0.15426608008734466,0.12565428213609067,0.09405606756366205,0.047525769885360135,0.11203879130406859,0.0,0.03397450306669664,0.023891332969397258,0.10108859702642818,0.05015895443306252,0.0947946437172859,0.017083587553386213,0.08442246555987283
25,0.1501672899035623,0.1819195696385226,0.09820901397362723,0.10929607032736338,0.027422423407465722,0.12294167814734633,0.0,0.024011021452469986,0.023420586498720725,0.07301712261365872,0.0313586564324608,0.05805943711867743,0.018500295217476873,0.0816768352686479
26,0.032171161858221345,0.18300285060927857,0.14506781944052877,0.09522914513047019,0.03987720452338439,0.12194969144503963,0.0,0.033643454562541114,0.01917113053284466,0.13347743006609655,0.04175672712464367,0.05832785139241299,0.01863859912915453,0.07768693418538358
27,0.09810366624525917,0.1175094816687737,0.12471554993678888,0.10979772439949431,0.0511378002528445,0.10707964601769912,0.0,0.03969658659924147,0.020417193426042982,0.12161820480404552,0.050063211125158026,0.07996207332490518,0.01504424778761062,0.06485461441213654
28,0.08944752996199941,0.18625158335769268,0.10771704180064309,0.10401442073467797,0.03371333917957712,0.12320958783981292,0.0,0.03273896521484946,0.022946506869336452,0.08798596901490792,0.037854428529669686,0.07044723764981,0.020802884146935593,0.0828705057000877
29,0.06404691188789886,0.1815550986215825,0.10288629959637499,0.11217729038153987,0.047292666209732694,0.1365471022770543,0.0,0.03137613281547483,0.018658137232503237,0.09108217195948519,0.03922016601934354,0.07158632244307364,0.018962759881197166,0.08460894067473916
30,0.08441353145747708,0.1592633575719254,0.11515965855200759,0.10441036990199178,0.04268099905153335,0.125671830540626,0.0,0.032959215934239644,0.019996838444514702,0.11760986405311413,0.03738539361365792,0.069238065128043,0.022368005058488776,0.06884287069238065
31,0.07944787737741754,0.17021105850252788,0.10833801460556938,0.09613995666479416,0.04734772490169328,0.12519059465532462,0.0,0.035550918866864616,0.0195810930101918,0.0971832116202552,0.042773453173902576,0.07134258887729716,0.01982184415375973,0.08707166359040205
32,0.17212249208025343,0.12865188313973952,0.12372404083069342,0.08174938401971137,0.04892643435410067,0.07752551918338613,0.0,0.037222808870116156,0.02375923970432946,0.1033086941217881,0.04963041182682154,0.08122140091517072,0.015575501583949313,0.05658218936994016
33,0.09831418767715948,0.18827390720572879,0.09756825302103536,0.10622109503207519,0.03729673280620618,0.1274056392660003,0.0,0.031180068625988364,0.024615843652096077,0.09234671042816649,0.03461136804415933,0.05758615545278234,0.021184544233925108,0.08339549455467701
34,0.1387288099945316,0.13948597148025071,0.1558070079501956,0.0758002776258781,0.03659613847642283,0.07971227863542675,0.0,0.04067639759390906,0.02776258780970008,0.11513061035628655,0.038867622933580113,0.07815589113700416,0.01367097126992807,0.059605434736886384
35,0.058775005155702206,0.1496184780367086,0.1316250773355331,0.10620746545679521,0.048721385852753145,0.11713755413487317,0.0,0.03969890699113219,0.016446690039183337,0.11337389152402558,0.05052588162507734,0.07914002887193236,0.016549804083316147,0.07217983089296762
36,0.05744854845304621,0.17057380400708735,0.10201717323156603,0.10665121984462314,0.04456862477851983,0.13990731906773884,0.0,0.03673163418290855,0.02214801690064059,0.1005860706010631,0.044023442824042525,0.06746626686656672,0.020308027804279677,0.0875698514379174
37,0.052757506878813254,0.11927264026797464,0.13931092235913387,0.0977987797583443,0.05694461059935399,0.10521593492044502,0.0,0.043246799856442156,0.01830362483550664,0.1341667663596124,0.050484507716234,0.09235554492164134,0.01764565139370738,0.072496710132791
38,0.07799015534104711,0.14715847343859872,0.15099405484881417,0.08534168637729336,0.04494022885635748,0.10388032986000127,0.0,0.04321421722176053,0.018027232628012528,0.1178802020072876,0.0450041552131944,0.0792686824777856,0.01770760084382791,0.06859298088601931
39,0.09735285561912149,0.14908368079123435,0.1356540288955687,0.08833511102492,0.04600989042955493,0.10894017259769223,0.0,0.03611946087462426,0.022108019005139146,0.10549791525259382,0.043343353049549116,0.07674779404634927,0.018520314166585863,0.07228740424706681
40,0.06995045176333431,0.14981055085980763,0.1289225687360342,0.1031769163509181,0.040804430195278345,0.1199844554551637,0.0,0.035072379286894,0.024385504711940155,0.11318371708928399,0.04158165743709317,0.07179636646264452,0.018750607208782667,0.08258039444282522
41,0.060165207742571815,0.11114535815559118,0.1490568363950191,0.09012452225372951,0.05720626309949452,0.10251510294661571,0.0,0.04894587597090371,0.019048206139810134,0.12446060904943904,0.05615830353840463,0.10078905190482061,0.017815312538527923,0.06256935026507213
42,0.05378498528583057,0.11934130611733768,0.17869889174128106,0.0770145889424582,0.05322146390332477,0.0988666958862939,0.0,0.043453759939891055,0.019660634900757624,0.13856364660947967,0.052908396468599336,0.0859057040886607,0.01114520067622566,0.06743472543985975
43,0.06401804302567661,0.15637288919731668,0.1184941013185288,0.10987739995373583,0.05054360397871848,0.12468193384223919,0.0,0.03250057830210502,0.02145500809622947,0.1042678695350451,0.04262086513994911,0.07645153828359935,0.0176382142030997,0.08107795512375665
44,0.09055038034414026,0.15620550787129317,0.12345930114306634,0.09913354757352642,0.04816336492698206,0.1161778464792743,0.0,0.03530895334174023,0.016800227799698978,0.09486230321767075,0.044014156124150834,0.08367571085709637,0.019281617377862752,0.07236708294349754
45,0.15902255639097745,0.16631578947368422,0.11075187969924812,0.08556390977443609,0.03406015037593985,0.10766917293233083,0.0,0.028721804511278197,0.023984962406015036,0.08887218045112782,0.037819548872180454,0.06654135338345865,0.018947368421052633,0.07172932330827067
46,0.09038549643301264,0.16794292820210746,0.12795340009162903,0.09162903331369854,0.04561816872831992,0.10570063485830225,0.0,0.035277177825773935,0.017736762877151646,0.10635512795340009,0.042214804633811116,0.08109169448262321,0.01668957392499509,0.07140519667517507
47,0.07318666957089959,0.13359471429608655,0.11493501778842663,0.11704058665504974,0.05249401001960357,0.13221520365933348,0.0,0.03608509402454077,0.019530966383503958,0.1081826762506353,0.04741160241051332,0.07681696072024977,0.01771582080882887,0.07079067741232847
48,0.0728406055209261,0.12300385871178392,0.1334520629266845,0.09884238646482636,0.05574354407836153,0.11077471059661621,0.0,0.03959631938260611,0.01674087266251113,0.1157613535173642,0.0520629266844761,0.0939744731374295,0.013297714455327991,0.07390917186108638
49,0.08531109685695959,0.15795381654906993,0.12219371391917896,0.08434894162924952,0.04858883899935856,0.11369467607440667,0.0,0.03752405388069275,0.021488133418858243,0.09060295060936498,0.04217447081462476,0.0928479794740218,0.017479153303399615,0.08579217447081462
50,0.3201634877384196,0.06687102633969119,0.15690281562216168,0.0085149863760218,0.046094459582198,0.01589464123524069,0.0,0.04302906448683015,0.03508174386920981,0.11852861035422343,0.06607629427792916,0.10149863760217984,0.002838328792007266,0.018505903723887374
51,0.2574269431308355,0.10731174972717351,0.15726931005214018,0.03601309567115315,0.03795319510124894,0.04813871710925185,0.0,0.03977203831696374,0.021826118588577664,0.12671274402813143,0.04741117982296593,0.07711895234630775,0.0061840669334303384,0.03686188917182005
52,0.20206362854686155,0.0765262252794497,0.17913442247062195,0.03324734881054744,0.04843794783605618,0.04652718066303621,0.0,0.0470048724562912,0.022164899207031623,0.1584981370020063,0.051972867106143114,0.09324543804337442,0.005541224801757906,0.0356358077768224
53,0.1646713349898351,0.052970408854754916,0.17924102100745426,0.028122882313078836,0.07691438897673368,0.03083352157217077,0.0,0.0577140275581658,0.025864016263835554,0.15382877795346736,0.07612378585949853,0.11904224079512085,0.0036141856787892477,0.0310594081770951
54,0.25880228708997893,0.06470057177249473,0.16942521817634668,0.012639181462533854,0.05236232320192597,0.022569966897381884,0.0,0.05386698766175143,0.022269034005416792,0.1399337947637677,0.0586819139331929,0.12157688835389709,0.003009328919650918,0.02016250376166115
55,0.11822565091610415,0.1103182256509161,0.151976856316297,0.049566055930568946,0.06518804243008679,0.04513018322082932,0.0,0.0553519768563163,0.028351012536162006,0.14310511089681774,0.06518804243008679,0.11629701060752169,0.006557377049180328,0.04474445515911282
56,0.22471029014550842,0.07040167291103946,0.16511283436438093,0.021434172693212513,0.06804914176178443,0.027097673608085737,0.0,0.05855188638145857,0.023786703842467543,0.13914786093926984,0.06508669512938921,0.10682234033283959,0.0025267927158665157,0.02727193517469722
57,0.2360070949940875,0.06957035869136775,0.18525817895151753,0.010248324793062672,0.055183287347260544,0.01507686243594797,0.0,0.05183287347260544,0.02207331493890422,0.1584548679542767,0.06336223886480094,0.10662199448167127,0.0014781237682301932,0.024832479306267245
58,0.1835780174093803,0.08782642588021307,0.13589710276731193,0.0446927374301676,0.06729894764193842,0.052228140834091205,0.0,0.046641548655320254,0.02546446667532805,0.1375860724957776,0.0584643367545797,0.10510588540989996,0.008964531635702221,0.04625178641028972
59,0.17666349307098275,0.11837511900983815,0.13551253570295144,0.05194118269332487,0.045805564371099124,0.07764730773299482,0.0,0.03734264254733947,0.02845657463239183,0.11647096159949223,0.051835396170527875,0.09764096054162699,0.009943933142917593,0.05236432878451285
60,0.24030103879584483,0.06010175959296163,0.20002119991520034,0.007737969048123808,0.054589781640873435,0.01907992368030528,0.0,0.043671825312698746,0.022895908416366333,0.17330930676277295,0.06402374390502438,0.09433962264150944,0.002331990672037312,0.017595929616281536
61,0.26777292576419215,0.061484716157205244,0.19406113537117903,0.005414847161572052,0.04751091703056769,0.013973799126637555,0.0,0.04489082969432314,0.01921397379912664,0.17746724890829693,0.05572052401746725,0.09240174672489083,0.00034934497816593884,0.019737991266375546
62,0.18404059040590406,0.08971402214022141,0.1763530135301353,0.025138376383763837,0.07779827798277983,0.03328720787207872,0.0,0.044587945879458794,0.024984624846248464,0.12661439114391143,0.07041820418204182,0.10939421894218943,0.0035362853628536283,0.03413284132841329
63,0.23625767837454717,0.04977161757757127,0.18538352496456134,0.00693022523232005,0.06237202709088045,0.013545440226807372,0.0,0.05654433769097496,0.022208221767207433,0.16223027248385571,0.06882973696645141,0.11560875728461174,0.0018900614269963774,0.018428098913214678
64,0.11188684923262113,0.12633162804694553,0.1425820042130605,0.08967800180559735,0.04808907613602167,0.10701173638278663,0.0,0.03665362624134818,0.016069816430935902,0.1193499849533554,0.044778814324405655,0.07366837195305447,0.0124586217273548,0.0714414685525128
65,0.22767929744673931,0.09725158562367865,0.15482192226378272,0.01544966661245731,0.057895592779313707,0.02911042445926167,0.0,0.04439746300211417,0.029923564807285738,0.13010245568385104,0.06862904537323142,0.11237599609692633,0.001463652626443324,0.03089933322491462
66,0.2593120293099939,0.07856706696519439,0.15489517606350497,0.012416039079991859,0.0726643598615917,0.02381437003867291,0.0,0.0508854060655404,0.024424994911459393,0.1304701811520456,0.06513331976389172,0.09831060451862406,0.0020354162426216163,0.027071036026867494
67,0.1930175990842753,0.12376591787094005,0.21848619258835314,0.010301902990413506,0.08770925740449277,0.015882100443554155,0.0,0.031478036915152385,0.020031478036915153,0.11417942481041637,0.05036485906424381,0.1041636857919588,0.0018600658177135498,0.02875947918157104
68,0.2784583971413987,0.07503828483920368,0.15007656967840735,0.015058703420112302,0.048749361919346604,0.03037263910158244,0.0,0.042879019908116385,0.0222052067381317,0.13705972434915772,0.06278713629402756,0.10949464012251149,0.002807554874936192,0.025012761613067893
69,0.17070294402560754,0.09468053742155583,0.1669965884681801,0.05344733184517542,0.045613443962431034,0.05951227730278398,0.0,0.04477109042665207,0.02089036768731837,0.1441688076485701,0.049488270227014276,0.09501747883586742,0.0088025944488902,0.045908267699953674
70,0.2512379989893886,0.1212733703890854,0.12430520464881253,0.05022738756947954,0.03577564426478019,0.06882263769580596,0.0,0.03425972713491662,0.023547246083880747,0.10419403739262253,0.04759979787771602,0.07498736735725113,0.010510358767054067,0.05325922182920667
71,0.29431762991743565,0.05779504613890238,0.14618746964545895,0.010684798445847498,0.0626517727051967,0.021855269548324428,0.0,0.04905293831957261,0.03156872268091306,0.13016027197668772,0.06410879067508499,0.10053423992229238,0.0014570179698882952,0.02962603205439534
72,0.16603425289713875,0.0624551328068916,0.18151984411855193,0.042662291047072094,0.06942877653573992,0.040713772946364475,0.0,0.05363552456158343,0.019895395344067274,0.15290739411342427,0.05753256076299867,0.11086042457183878,0.004717464875397395,0.03763716541893139
73,0.29037800687285226,0.10538373424971363,0.11512027491408934,0.038831615120274915,0.05005727376861398,0.05360824742268041,0.0,0.03424971363115693,0.03333333333333333,0.09106529209621993,0.05108820160366552,0.08774341351660939,0.007560137457044674,0.0415807560137457
74,0.21312991215903837,0.04946833102172908,0.17170596393897364,0.013684697179842812,0.07480351363846509,0.02431807674526121,0.0,0.05048543689320388,0.028663892741562644,0.15894590846047157,0.07027276930189552,0.11521035598705502,0.0025889967637540453,0.02672214516874711
75,0.2612921669525443,0.036020583190394515,0.1761006289308176,0.02058319039451115,0.06460834762721555,0.024585477415666093,0.0,0.048027444253859346,0.024013722126929673,0.13607775871926817,0.06689536878216124,0.11206403659233848,0.006289308176100629,0.023441966838193252
76,0.21422004290530186,0.04954540811114516,0.18081520073551946,0.016651343344570437,0.06967003779752784,0.030033711308611707,0.0,0.04791092042088058,0.02257636122177955,0.16242721422004291,0.05965880069465727,0.11645724793135152,0.001736643170906119,0.028297068137705588
77,0.17505093245572795,0.13085723240871336,0.12349161573421094,0.07569346497414198,0.04215640181789688,0.07177558376430027,0.0,0.033066917411064094,0.025858015984955338,0.11142454160789844,0.04764143551167529,0.08619338661651779,0.018805829807240243,0.05798464190565742
